Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00,00,-1,0,0,0,~,~,0,2.0x0p
1,01,01,0,0,0,1,~,~,1,2.0x1p
2,10,10,1,1,0,0,~,~,nar,2.0x2p
3,11,11,0,1,0,1,~,~,-1,2.0x3p

"Generate Posit Lookup table for a POSIT<3,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000,000,-2,0,-1,00,~,~,0,3.0x0p
1,001,001,-1,0,-1,01,~,~,0.5,3.0x1p
2,010,010,0,0,0,10,~,~,1,3.0x2p
3,011,011,1,0,1,11,~,~,2,3.0x3p
4,100,100,2,1,-1,00,~,~,nar,3.0x4p
5,101,111,1,1,1,11,~,~,-2,3.0x5p
6,110,110,0,1,0,10,~,~,-1,3.0x6p
7,111,101,-1,1,-1,01,~,~,-0.5,3.0x7p

"Generate Posit Lookup table for a POSIT<3,1> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000,000,-2,0,-2,00,-,~,0,3.1x0p
1,001,001,-1,0,-2,01,-,~,0.25,3.1x1p
2,010,010,0,0,0,10,-,~,1,3.1x2p
3,011,011,1,0,2,11,-,~,4,3.1x3p
4,100,100,2,1,-2,00,-,~,nar,3.1x4p
5,101,111,1,1,2,11,-,~,-4,3.1x5p
6,110,110,0,1,0,10,-,~,-1,3.1x6p
7,111,101,-1,1,-2,01,-,~,-0.25,3.1x7p

"Generate Posit Lookup table for a POSIT<3,2> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000,000,-2,0,-4,00,--,~,0,3.2x0p
1,001,001,-1,0,-4,01,--,~,0.0625,3.2x1p
2,010,010,0,0,0,10,--,~,1,3.2x2p
3,011,011,1,0,4,11,--,~,16,3.2x3p
4,100,100,2,1,-4,00,--,~,nar,3.2x4p
5,101,111,1,1,4,11,--,~,-16,3.2x5p
6,110,110,0,1,0,10,--,~,-1,3.2x6p
7,111,101,-1,1,-4,01,--,~,-0.0625,3.2x7p

"Generate Posit Lookup table for a POSIT<3,3> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000,000,-2,0,-8,00,---,~,0,3.3x0p
1,001,001,-1,0,-8,01,---,~,0.00390625,3.3x1p
2,010,010,0,0,0,10,---,~,1,3.3x2p
3,011,011,1,0,8,11,---,~,256,3.3x3p
4,100,100,2,1,-8,00,---,~,nar,3.3x4p
5,101,111,1,1,8,11,---,~,-256,3.3x5p
6,110,110,0,1,0,10,---,~,-1,3.3x6p
7,111,101,-1,1,-8,01,---,~,-0.00390625,3.3x7p

"Generate Posit Lookup table for a POSIT<3,4> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000,000,-2,0,-16,00,----,~,0,3.4x0p
1,001,001,-1,0,-16,01,----,~,1.52587890625e-05,3.4x1p
2,010,010,0,0,0,10,----,~,1,3.4x2p
3,011,011,1,0,16,11,----,~,65536,3.4x3p
4,100,100,2,1,-16,00,----,~,nar,3.4x4p
5,101,111,1,1,16,11,----,~,-65536,3.4x5p
6,110,110,0,1,0,10,----,~,-1,3.4x6p
7,111,101,-1,1,-16,01,----,~,-1.52587890625e-05,3.4x7p

"Generate Posit Lookup table for a POSIT<3,5> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000,000,-2,0,-32,00,-----,~,0,3.5x0p
1,001,001,-1,0,-32,01,-----,~,2.328306436538696289063e-10,3.5x1p
2,010,010,0,0,0,10,-----,~,1,3.5x2p
3,011,011,1,0,32,11,-----,~,4294967296,3.5x3p
4,100,100,2,1,-32,00,-----,~,nar,3.5x4p
5,101,111,1,1,32,11,-----,~,-4294967296,3.5x5p
6,110,110,0,1,0,10,-----,~,-1,3.5x6p
7,111,101,-1,1,-32,01,-----,~,-2.328306436538696289063e-10,3.5x7p

"Generate Posit Lookup table for a POSIT<4,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-2,000,~,-,0,4.0x0p
1,0001,0001,-2,0,-2,001,~,-,0.25,4.0x1p
2,0010,0010,-1,0,-1,01-,~,0,0.5,4.0x2p
3,0011,0011,-1,0,-1,01-,~,1,0.75,4.0x3p
4,0100,0100,0,0,0,10-,~,0,1,4.0x4p
5,0101,0101,0,0,0,10-,~,1,1.5,4.0x5p
6,0110,0110,1,0,1,110,~,-,2,4.0x6p
7,0111,0111,2,0,2,111,~,-,4,4.0x7p
8,1000,1000,3,1,-2,000,~,-,nar,4.0x8p
9,1001,1111,2,1,2,111,~,-,-4,4.0x9p
10,1010,1110,1,1,1,110,~,-,-2,4.0xAp
11,1011,1101,0,1,0,10-,~,1,-1.5,4.0xBp
12,1100,1100,0,1,0,10-,~,0,-1,4.0xCp
13,1101,1011,-1,1,-1,01-,~,1,-0.75,4.0xDp
14,1110,1010,-1,1,-1,01-,~,0,-0.5,4.0xEp
15,1111,1001,-2,1,-2,001,~,-,-0.25,4.0xFp

"Generate Posit Lookup table for a POSIT<4,1> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-4,000,-,~,0,4.1x0p
1,0001,0001,-2,0,-4,001,-,~,0.0625,4.1x1p
2,0010,0010,-1,0,-2,01-,0,~,0.25,4.1x2p
3,0011,0011,-1,0,-1,01-,1,~,0.5,4.1x3p
4,0100,0100,0,0,0,10-,0,~,1,4.1x4p
5,0101,0101,0,0,1,10-,1,~,2,4.1x5p
6,0110,0110,1,0,2,110,-,~,4,4.1x6p
7,0111,0111,2,0,4,111,-,~,16,4.1x7p
8,1000,1000,3,1,-4,000,-,~,nar,4.1x8p
9,1001,1111,2,1,4,111,-,~,-16,4.1x9p
10,1010,1110,1,1,2,110,-,~,-4,4.1xAp
11,1011,1101,0,1,1,10-,1,~,-2,4.1xBp
12,1100,1100,0,1,0,10-,0,~,-1,4.1xCp
13,1101,1011,-1,1,-1,01-,1,~,-0.5,4.1xDp
14,1110,1010,-1,1,-2,01-,0,~,-0.25,4.1xEp
15,1111,1001,-2,1,-4,001,-,~,-0.0625,4.1xFp

"Generate Posit Lookup table for a POSIT<4,2> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000,0000,-3,0,-8,000,--,~,0,4.2x0p
1,0001,0001,-2,0,-8,001,--,~,0.00390625,4.2x1p
2,0010,0010,-1,0,-4,01-,0-,~,0.0625,4.2x2p
3,0011,0011,-1,0,-2,01-,1-,~,0.25,4.2x3p
